AMIE|Nombre-Educativa|Provincia|Canton|Parroquia|ZonaAdministrativa|CodigoDistrito|Sostenimiento|RegimenEscolar|Modalidad|Jornada|Nivel|Etnia|Numeroestudiantes|Numerodocentes|Estado
08H02231|8 DE SEPTIEMBRE|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Nocturna|Alfabetización P.P|Mestiza|51|0|Activa
08H02177|ECO-MUNDO|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Educación Básica|Mestiza|166|8|Activa
08H02186|ARTESANAL MODA ACTUAL|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Educación Básica|Mestiza|24|2|Activa
08H01156|CENTRO DE FORMACION ARTESANAL 21 DE SEPTIEMBRE|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Vespertina|Educación Básica y Artesanal P.P|Mestiza|50|4|Activa
08H01161|FREDESULINDA ROSERO  DE  PÁEZ|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Vespertina|Educación Básica|Mestiza|261|10|Activa
08H01127|CENTRO OCUPASIONAL POPULAR NUEVA CONCORDIA|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Nocturna|Educación Básica, Alfabetización y Artesanal P.P.|Mestiza|28|1|Activa
08H01132|COLEGIO JUAN MONTALVO|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|180|8|Activa
08H01134|DAVID AUSUBEL|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|23|6|Activa
08H01136|AGUSTIN OCAMPO SANTANDER|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|238|9|Activa
08H01137|ESCUELA MARICELA LOOR DE ALAVA|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Educación Básica|Mestiza|77|2|Activa
08H01144|DOCTOR ANDRES F CORDOVA|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|348|11|Activa
08H01145|BENITO JUAREZ|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Vespertina|Educación Básica|Mestiza|43|0|Activa
08H01148|JHON DALTON|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Educación Básica|Mestiza|61|9|Activa
08H01152|UNIDAD EDUCATIVA VON HUMBOLDT|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Inicial Educación Básica y Bachillerato|Mestiza|37|6|Activa
08H01155|10   DE  AGOSTO|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|371|17|Activa
08H01159|MARIA ANTONIETA CRUZ LOPEZ|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Educación Básica|Mestiza|62|4|Activa
08H01160|8 DE SEPTIEMBRE|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|209|12|Activa
08H01172|ESCUELA MIRIAN HERAS CEVALLOS|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|713|25|Activa
08H01177|CIUDAD DE QUINIDE|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Vespertina|Inicial y Educacción Básica|Mestiza|563|23|Activa
08H01124|ESC. SIMON BOLIVAR|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|252|10|Activa
08H01129|COLEGIO LUZ DEL EVANGELIO|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Particular|COSTA|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|179|0|Activa
23H00301|SERGIO NUÑEZ|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Matutina|Educación Básica|Mestiza|708|23|Activa
23H00380|DR JOSE  GREGORIO HERNANDEZ  CISNEROS|ESMERALDAS|LA CONCORDIA|LA CONCORDIA|Zona 4|23D03|Fiscal|COSTA|Presencial|Nocturna|Educación Básica|Mestiza|76|6|Activa
